Well Authorization Number,Average Production Days
01128,17.52
12533,26.02
15319,25.11
00299,15.39
01902,16.58
06718,29.26
10984,27.60
06632,26.15
03549,16.47
10491,28.72
06252,24.22
08584,27.05
05804,26.05
17011,28.04
03269,16.91
02742,21.97
07367,26.33
10594,27.22
00367,14.37
00493,18.25
01493,11.55
01368,10.16
14992,26.78
13838,28.58
00185,0.00
05780,24.61
03373,5.94
00070,12.89
05669,25.64
08683,21.49
00239,14.19
00848,7.78
04065,24.69
00101,17.14
12098,28.02
00480,12.67
09033,26.03
07202,24.80
00444,20.88
02744,24.34
08357,27.85
22234,28.15
01982,13.49
03310,21.50
04889,23.80
12937,27.96
02745,22.48
01171,17.33
00651,15.81
03346,16.33
01708,13.91
01187,14.20
00453,14.14
09544,23.52
00889,18.86
09836,26.00
16433,24.59
11677,19.77
00408,4.88
00327,17.33
11115,24.10
04110,23.95
07379,27.42
09424,27.53
11005,28.52
07201,28.14
00179,15.56
07266,28.44
09780,27.14
13078,29.25
11399,28.41
11508,26.02
06783,26.22
01702,16.25
01082,5.07
06199,27.42
01108,18.88
26786,25.18
08882,26.84
01088,9.26
06897,27.84
05449,25.57
09072,26.40
05552,28.28
09181,29.08
06316,28.95
06247,29.67
08959,25.02
00898,4.36
09357,29.24
01994,8.70
09035,25.14
13066,26.49
07767,26.30
12886,15.82
17150,25.75
02737,18.69
10803,27.34
00233,18.48
08255,27.05
01625,11.65
08324,27.81
03191,23.53
05926,26.43
17744,24.80
08493,27.58
01502,0.00
01673,20.15
03476,11.28
16501,28.56
01718,17.60
07247,27.25
06149,21.21
05865,28.52
03871,23.32
05122,26.85
12139,29.07
00880,16.86
10716,26.58
02513,22.49
00213,12.18
00995,16.65
02757,18.28
06029,24.34
00667,5.22
10852,27.62
03729,27.27
15415,20.16
07606,28.94
00507,24.51
00093,2.29
00496,12.76
06846,21.65
02383,23.87
27933,25.75
00832,16.04
12324,24.81
01500,2.26
00074,3.49
12260,26.91
02270,19.12
11376,25.94
16575,22.20
12204,23.43
08292,27.61
04426,24.79
07051,26.90
09823,27.54
01790,17.46
00734,19.11
17877,27.41
00895,18.63
01035,1.94
13300,29.24
04057,27.06
06127,29.42
15393,29.02
06471,24.19
08271,27.17
02191,17.20
16493,28.10
02784,20.22
07439,25.92
00911,0.08
06504,28.71
03002,5.01
12268,26.18
06577,27.80
14447,27.38
06677,26.56
08660,23.48
00643,18.21
13251,29.09
01613,8.90
15765,24.14
01317,0.04
02863,21.30
06905,24.21
01671,14.67
15073,24.30
00778,11.53
24647,21.56
03165,19.98
10823,29.62
00160,22.03
00566,25.82
02545,15.88
12009,29.42
07092,28.99
00427,8.86
02487,24.78
04124,15.59
03927,19.62
02202,19.28
02734,2.74
02416,18.73
09585,28.06
06643,26.63
00869,22.76
00255,14.45
09092,20.68
06845,27.02
08943,26.43
06841,12.87
11361,29.78
07094,27.37
04604,28.20
05968,26.13
14390,25.54
00268,15.14
02138,15.38
04075,20.86
16239,29.01
04049,13.74
03016,14.54
15681,25.57
00250,5.65
08188,26.96
04810,27.03
08544,27.75
09455,28.70
07863,27.35
13955,29.31
05071,24.47
10031,28.44
01271,28.03
10982,27.84
08685,21.10
