Well Authorization Number,Sum Production Days
00029,"10,319"
00030,461
00034,"7,522"
00042,"4,120"
00045,"7,674"
00047,209
00058,"6,724"
00061,"7,925"
00062,"1,248"
00064,"9,090"
00066,32
00067,975
00070,"6,176"
00071,282
00074,877
00075,161
00076,"10,655"
00082,"10,748"
00083,1
00086,"3,999"
00089,"9,901"
00093,334
00094,"6,467"
00096,"5,287"
00099,"6,606"
00101,"13,709"
00102,69
00104,"6,781"
00107,"3,340"
00110,"4,675"
00120,"5,719"
00122,80
00129,"3,666"
00130,"4,989"
00131,"11,305"
00141,"19,888"
00152,"13,360"
00153,"13,227"
00160,"8,833"
00165,"2,891"
00166,"7,854"
00167,"4,866"
00168,"9,123"
00170,"10,111"
00172,"6,654"
00173,"9,808"
00175,"5,405"
00176,969
00177,"18,778"
00178,"4,485"
00179,"10,272"
00180,"9,050"
00183,"5,513"
00184,"9,933"
00186,"10,205"
00191,"9,584"
00193,"6,073"
00194,"10,411"
00197,"8,996"
00198,106
00201,"12,974"
00205,"10,694"
00210,649
00212,"4,150"
00213,"6,468"
00214,483
00216,851
00230,"1,231"
00233,"7,004"
00238,897
00239,"9,660"
00242,"10,352"
00243,"2,093"
00244,"10,960"
00248,400
00249,20
00250,"1,272"
00251,"4,333"
00253,426
00255,"9,828"
00262,"10,838"
00264,"6,008"
00267,38
00268,"10,430"
00270,278
00272,"6,153"
00278,"4,702"
00279,"11,142"
00282,"14,623"
00291,1
00295,"10,203"
00296,"14,586"
00299,"7,974"
00300,"3,380"
00304,"1,082"
00309,806
00314,"7,240"
00315,"9,839"
00322,"7,754"
00327,"13,204"
00330,"9,248"
00341,235
00344,8
00352,"9,232"
00357,729
00360,865
00362,"14,596"
00363,"14,493"
00367,"4,008"
00368,"14,223"
00372,"6,581"
00379,"14,076"
00382,"12,917"
00384,"9,934"
00385,"5,546"
00386,"5,222"
00395,264
00396,"5,725"
00397,26
00398,579
00400,"1,150"
00401,"5,700"
00403,29
00404,219
00408,"1,473"
00409,"5,784"
00410,"5,251"
00412,198
00418,19
00427,"4,021"
00432,9
00433,"4,609"
00436,"4,383"
00440,42
00441,"3,126"
00444,"24,514"
00447,"12,837"
00449,"8,719"
00451,"3,753"
00453,"9,091"
00455,"6,362"
00456,34
00457,935
00460,"9,850"
00461,"2,831"
00462,"7,960"
00464,118
00466,"8,281"
00468,465
00469,599
00470,"9,110"
00473,"4,026"
00474,"10,087"
00475,"4,040"
00478,4
00480,"6,895"
00483,"13,321"
00484,"13,226"
00485,"1,273"
00488,"14,575"
00489,"9,066"
00490,"13,182"
00492,"2,774"
00493,"13,924"
00496,"6,916"
00497,"7,777"
00501,78
00504,"2,682"
00505,"9,331"
00507,"4,656"
00515,"1,193"
00516,"11,963"
00521,"14,424"
00523,"14,252"
00524,"11,622"
00525,11
00528,"1,192"
00529,"6,989"
00533,186
00539,"9,301"
00541,"17,522"
00549,"10,316"
00550,"14,442"
00551,"7,600"
00562,157
00563,"5,005"
00566,"3,047"
00569,"2,417"
00571,"5,000"
00573,"14,082"
00579,"2,791"
00581,"9,594"
00584,"2,270"
00585,139
00589,28
00590,"13,643"
00591,"12,998"
00603,"13,586"
00604,"2,128"
00608,"9,294"
00612,"4,286"
00618,"13,473"
00620,"4,848"
00622,"9,230"
00625,"14,228"
00629,"13,396"
00632,"5,023"
00633,"9,811"
00635,57
00639,"14,281"
00641,"10,473"
00642,1
00643,"13,187"
00644,"3,092"
00646,"13,854"
00650,"12,658"
00651,"21,967"
00652,"2,287"
00653,228
00654,"9,594"
00655,"3,725"
00656,"14,039"
00657,"10,563"
00658,"1,059"
00659,"12,626"
00662,58
00663,"10,163"
00664,"14,120"
00665,"12,528"
00666,"13,048"
00667,"1,849"
00670,"12,213"
00674,"5,002"
00677,69
00678,"5,679"
00682,"2,353"
00687,"20,392"
00688,"7,076"
00689,524
00690,"12,478"
00691,"9,003"
00692,"11,404"
00695,"7,937"
00704,134
00707,350
00709,"1,412"
00711,"15,011"
00713,"6,540"
00715,"11,134"
