WA Num,Well Name,Operator,Abandoned Status Date,Casing Cutoff Flag,COR Flag
06471,STRATHCONA ET AL  ELM D- 046-C/094-H-07,STRATHCONA RESOURCES LTD.,25-FEB-2025,Y,N
18247,CNRL ET AL  BIRLEY C- 003-G/094-H-03,Canadian Natural Resources Limited,24-FEB-2025,Y,N
18721,CNRL ET AL  FIREBIRD A- 097-A/094-H-03,Canadian Natural Resources Limited,23-FEB-2025,Y,N
09586,CNRL ET AL  MARTIN D- 046-H/094-H-05,Canadian Natural Resources Limited,22-FEB-2025,Y,N
22205,CNRL   PICKELL A- 031-A/094-H-03,Canadian Natural Resources Limited,22-FEB-2025,Y,N
12627,CNRL ET AL  MARTIN B- 030-G/094-H-06,Canadian Natural Resources Limited,21-FEB-2025,Y,N
16704,CNRL   MARTIN C- 027-G/094-H-06,Canadian Natural Resources Limited,21-FEB-2025,Y,N
09751,CNRL   MARTIN A- 062-F/094-H-06,Canadian Natural Resources Limited,21-FEB-2025,Y,N
13764,CNRL   PICKELL A- 065-J/094-H-03,Canadian Natural Resources Limited,20-FEB-2025,Y,N
09124,CNRL   MARTIN B- 019-F/094-H-06,Canadian Natural Resources Limited,20-FEB-2025,Y,N
07595,CNRL   MARTIN A- 007-F/094-H-06,Canadian Natural Resources Limited,20-FEB-2025,Y,N
12718,CNRL   TOMMY A- 092-J/094-G-09,Canadian Natural Resources Limited,20-FEB-2025,Y,N
08544,CNRL   TOMMY B- 049-L/094-H-12,Canadian Natural Resources Limited,20-FEB-2025,Y,N
13526,CNRL   PICKELL C- 059-A/094-H-06,Canadian Natural Resources Limited,19-FEB-2025,Y,N
10528,CNRL   TOMMY D- 051-J/094-G-09,Canadian Natural Resources Limited,19-FEB-2025,Y,N
10979,CNRL   PICKELL C- 039-A/094-H-06,Canadian Natural Resources Limited,19-FEB-2025,Y,N
04830,CNRL   TOMMY A- 021-J/094-G-09,Canadian Natural Resources Limited,19-FEB-2025,Y,N
20946,CNRL   PICKELL D- 063-B/094-H-06,Canadian Natural Resources Limited,18-FEB-2025,Y,N
10076,CNRL   MARTIN B- 069-H/094-H-06,Canadian Natural Resources Limited,18-FEB-2025,Y,N
