,WA,Form,Abandoned Status Date,RR Date,Fluid_AGAS,Fluid_GAS,Fluid_MGAS,Fluid_MOG,Fluid_MOIL,Fluid_OIL,Fluid_UND,Fluid_WATR,production_time
0,4,4100,1990-06-29,1952-12-23,False,True,False,False,False,False,False,False,13702
1,15,2000,1969-10-16,1951-04-11,False,True,False,False,False,False,False,False,6763
2,17,2200,1983-04-26,1951-05-30,False,True,False,False,False,False,False,False,11654
3,19,2200,1996-06-24,1951-05-20,False,True,False,False,False,False,False,False,16472
4,26,8400,1967-03-08,1966-01-11,False,True,False,False,False,False,False,False,421
5,27,4000,1971-10-21,1952-03-15,False,True,False,False,False,False,False,False,7159
6,27,2900,1971-10-21,1952-03-15,False,True,False,False,False,False,False,False,7159
7,29,6200,2020-10-14,1952-07-16,False,True,False,False,False,False,False,False,24927
8,30,4100,1995-04-01,1952-09-02,False,True,False,False,False,False,False,False,15551
9,31,6200,1974-06-03,1952-09-13,False,True,False,False,False,False,False,False,7933
10,32,4100,1998-09-15,1952-06-01,False,False,False,False,False,False,False,True,16907
11,32,2800,1998-09-15,1952-06-01,False,False,False,False,False,False,False,True,16907
12,33,4800,1960-01-12,1952-10-04,False,True,False,False,False,False,False,False,2656
13,34,4100,2020-09-29,1952-11-07,False,False,False,True,False,False,False,False,24798
14,34,4580,2020-09-29,1952-11-07,False,False,False,True,False,False,False,False,24798
15,34,4500,2020-09-29,1952-11-07,False,False,False,True,False,False,False,False,24798
16,35,4800,1971-10-21,1953-01-15,False,False,True,False,False,False,False,False,6853
17,36,4590,1991-03-01,1952-11-24,False,True,False,False,False,False,False,False,13976
18,36,4100,1991-03-01,1952-11-24,False,True,False,False,False,False,False,False,13976
19,42,6200,2020-10-17,1952-12-14,False,True,False,False,False,False,False,False,24779
20,42,6200,2020-10-17,1997-04-22,False,True,False,False,False,False,False,False,8579
21,42,4800,2020-10-17,1997-04-22,False,True,False,False,False,False,False,False,8579
22,45,2900,2021-11-03,1953-07-25,False,True,False,False,False,False,False,False,24938
23,47,4800,2004-10-01,1953-03-04,False,True,False,False,False,False,False,False,18839
24,48,4100,1953-01-13,1953-01-12,False,False,False,False,False,False,True,False,1
25,52,6200,1990-12-21,1953-04-08,False,False,True,False,False,False,False,False,13771
26,56,4100,1953-09-30,1953-04-30,False,False,False,False,False,False,True,False,153
27,58,6200,2013-03-09,1954-06-29,False,False,True,False,False,False,False,False,21438
