,WA,Form,Abandoned Status Date,Area,RR Date,Fluid_AGAS,Fluid_GAS,Fluid_MGAS,Fluid_MOG,Fluid_MOIL,Fluid_OIL,Fluid_UND,Fluid_WATR,production_time,Year
1,15,2000,1969-10-16,8120.0,1951-04-11,False,True,False,False,False,False,False,False,6763,1951
2,17,2200,1983-04-26,8120.0,1951-05-30,False,True,False,False,False,False,False,False,11654,1951
5,27,4000,1971-10-21,100.0,1952-03-15,False,True,False,False,False,False,False,False,7159,1952
6,27,2900,1971-10-21,100.0,1952-03-15,False,True,False,False,False,False,False,False,7159,1952
9,31,6200,1974-06-03,3600.0,1952-09-13,False,True,False,False,False,False,False,False,7933,1952
12,33,4800,1960-01-12,8360.0,1952-10-04,False,True,False,False,False,False,False,False,2656,1952
16,35,4800,1971-10-21,100.0,1953-01-15,False,False,True,False,False,False,False,False,6853,1953
20,42,6200,2020-10-17,4000.0,1997-04-22,False,True,False,False,False,False,False,False,8579,1997
21,42,4800,2020-10-17,4000.0,1997-04-22,False,True,False,False,False,False,False,False,8579,1997
32,62,4100,1980-03-12,3600.0,1953-06-15,False,True,False,False,False,False,False,False,9767,1953
33,62,4100,1980-03-12,3600.0,1971-07-30,False,True,False,False,False,False,False,False,3148,1971
38,67,4100,1977-12-23,3600.0,1953-07-06,False,True,False,False,False,False,False,False,8936,1953
46,85,4900,2002-08-14,7410.0,1977-07-12,False,False,False,False,False,False,True,False,9164,1977
47,85,4800,2002-08-14,7410.0,1977-07-12,False,False,False,False,False,False,True,False,9164,1977
48,85,2800,2002-08-14,7410.0,1977-07-12,False,False,False,False,False,False,True,False,9164,1977
51,93,4800,1982-10-01,7400.0,1954-05-25,False,False,True,False,False,False,False,False,10356,1954
52,93,4582,1982-10-01,7400.0,1954-05-25,False,False,True,False,False,False,False,False,10356,1954
58,97,4100,2004-10-13,7400.0,1980-01-25,False,False,False,False,False,False,True,False,9028,1980
59,97,2800,2004-10-13,7400.0,1980-01-25,False,False,False,False,False,False,True,False,9028,1980
76,133,4100,2010-03-02,9000.0,1984-10-25,False,False,False,False,False,False,True,False,9259,1984
77,133,2890,2010-03-02,9000.0,1984-10-25,False,False,False,False,False,False,True,False,9259,1984
83,154,6200,1975-09-26,9000.0,1956-09-29,False,False,True,False,False,False,False,False,6936,1956
84,154,6200,1975-09-26,9000.0,1966-03-27,False,False,True,False,False,False,False,False,3470,1966
103,174,4800,1991-01-08,4000.0,1956-08-26,False,True,False,False,False,False,False,False,12553,1956
104,174,4510,1991-01-08,4000.0,1956-08-26,False,True,False,False,False,False,False,False,12553,1956
107,180,4800,2023-03-21,800.0,1994-07-07,False,True,False,False,False,False,False,False,10484,1994
110,185,2900,1967-06-15,2700.0,1956-09-12,False,True,False,False,False,False,False,False,3928,1956
111,190,2900,1981-06-29,3600.0,1956-09-07,False,True,False,False,False,False,False,False,9061,1956
113,192,4800,1990-11-26,3600.0,1956-10-21,False,True,False,False,False,False,False,False,12454,1956
115,195,2900,1986-07-24,7600.0,1956-10-01,False,True,False,False,False,False,False,False,10888,1956
116,195,4100,1986-07-24,7600.0,1956-10-01,False,True,False,False,False,False,False,False,10888,1956
117,196,4100,1962-11-22,3600.0,1956-09-29,False,True,False,False,False,False,False,False,2245,1956
120,198,4800,1978-01-19,3600.0,1956-10-23,False,False,True,False,False,False,False,False,7758,1956
125,202,4800,1991-03-13,4000.0,1956-11-09,False,True,False,False,False,False,False,False,12542,1956
128,210,4100,2020-12-04,3600.0,1999-08-28,False,True,False,False,False,False,False,False,7769,1999
129,211,8400,1991-02-17,3200.0,1957-01-28,False,True,False,False,False,False,False,False,12438,1957
137,220,2900,1991-02-06,4000.0,1957-01-17,False,True,False,False,False,False,False,False,12438,1957
140,229,7400,1992-06-05,800.0,1957-06-10,False,False,True,False,False,False,False,False,12779,1957
141,229,4100,1992-06-05,800.0,1957-06-10,False,False,True,False,False,False,False,False,12779,1957
143,233,4100,2020-12-03,3600.0,1997-09-04,False,True,False,False,False,False,False,False,8491,1997
144,233,2800,2020-12-03,3600.0,1997-09-04,False,True,False,False,False,False,False,False,8491,1997
148,238,4100,2022-07-11,4300.0,1999-03-28,False,True,False,False,False,False,False,False,8506,1999
150,241,4100,1991-10-11,1800.0,1957-06-16,False,False,False,False,False,False,False,True,12535,1957
154,243,4100,2017-09-28,1880.0,2004-04-22,False,True,False,False,False,False,False,False,4907,2004
161,258,4800,1976-03-25,7400.0,1957-05-21,False,True,False,False,False,False,False,False,6883,1957
164,269,2700,1990-03-05,3600.0,1957-09-26,False,False,False,True,False,False,False,False,11848,1957
165,269,4530,1990-03-05,3600.0,1977-03-02,False,False,False,True,False,False,False,False,4751,1977
172,271,2900,1989-12-14,2800.0,1957-07-24,False,False,False,False,False,True,False,False,11831,1957
173,274,4100,1991-03-15,800.0,1957-11-14,False,False,True,False,False,False,False,False,12174,1957
174,280,2900,1989-12-14,2800.0,1957-08-27,False,False,False,False,False,True,False,False,11797,1957
175,287,4100,1971-10-21,100.0,1957-10-21,False,True,False,False,False,False,False,False,5113,1957
