Form,Area,Fluid_AGAS,Fluid_GAS,Fluid_MGAS,Fluid_MOG,Fluid_MOIL,Fluid_OIL,Fluid_UND,Fluid_WATR,production_time,Year,Average Production Days,Ground Elev.,Proj. Depth
2200,8120,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16472,1951,0.661680349,835.4,1010
4100,3600,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,16907,1952,0,622,1455
2800,3600,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,16907,1952,0,622,1455
6200,4000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8579,1997,0.7,631.9,1963
6200,4000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8579,1997,0.7,631.9,1963
4800,4000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8579,1997,0.7,631.9,1963
4800,4000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8579,1997,0.7,631.9,1963
4100,3600,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9767,1953,0.998032787,674.4,1201
4100,3600,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9767,1953,0.998032787,674.4,1201
4100,3600,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3148,1971,0.998032787,674.4,1201
4100,3600,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3148,1971,0.998032787,674.4,1201
2900,2400,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13358,1953,0,706.3,1178
2900,9000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,14855,1953,0.526229508,814.6,2460
4590,9000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,14855,1953,0.526229508,814.6,2460
2600,9000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,14855,1953,0.526229508,814.6,2460
4100,3600,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8936,1953,0.238688525,678.7,1224
4100,3600,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8936,1953,0.238688525,678.7,1224
4100,4400,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15801,1954,0.032786885,931,1489
4040,6400,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,14347,1954,0.661680349,956.5,1472
4800,7400,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,18325,1954,0.661680349,694.3,1538
4800,7400,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,18325,1954,0.661680349,694.3,1538
4100,7400,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9028,1980,0.661680349,694.3,1538
4100,7400,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9028,1980,0.661680349,694.3,1538
2800,7400,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9028,1980,0.661680349,694.3,1538
2800,7400,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9028,1980,0.661680349,694.3,1538
2900,2800,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19336,1954,0.420655738,739.4,1189
4100,800,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13104,1955,0,1012.4,2278
4800,800,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13104,1955,0,1012.4,2278
6200,3600,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,14321,1956,0,670.8,2166
4800,3600,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12454,1956,0,648.3,2007
2900,7600,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10888,1956,0,716.2,1391
4100,7600,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10888,1956,0,716.2,1391
4800,4000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12542,1956,0,611.9,1478
4100,3600,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14537,1956,0.661680349,621.8,1357
6200,4000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15109,1957,0,652.9,1973
4100,3600,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15109,1957,0,652.9,1973
7400,4300,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16601,1977,0.555081967,758,2981
7400,4300,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16601,1977,0.555081967,758,2981
7400,4300,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16601,1977,0.555081967,758,2981
4100,4300,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16601,1977,0.555081967,758,2981
4100,4300,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16601,1977,0.555081967,758,2981
4100,4300,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16601,1977,0.555081967,758,2981
4100,4300,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8506,1999,0.555081967,758,2981
4100,4300,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8506,1999,0.555081967,758,2981
4100,4300,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8506,1999,0.555081967,758,2981
4100,1880,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4907,2004,0.798032787,853.6,1356
4100,1880,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4907,2004,0.798032787,853.6,1356
4800,6200,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17866,1957,0,738.4,1477
4580,6200,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17866,1957,0,738.4,1477
2200,3400,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17383,1957,0,768.9,921
4800,5100,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17258,1958,0.160655738,1128.4,4186
4100,5100,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17258,1958,0.160655738,1128.4,4186
